super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,unitid,year,fips_ipeds,slevel,fourcat,public,private,forprofit,selective,more_selective,non_selective,total_enrollment,col_white,mkt_white,dif_white,col_hispa,mkt_hispa,dif_hispa,col_black,mkt_black,dif_black,col_asian,mkt_asian,dif_asian,col_amind,mkt_amind,dif_amind,col_pacis,mkt_pacis,dif_pacis,col_twora,mkt_twora,dif_twora
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,190549,2016,New York,4-year,Public Selective,1,0,0,1,0,0,13380,31.08371,32.05138,-0.9676725,22.87743,24.91587,-2.038437,21.48729,18.10459,3.382705,19.19283,8.66139,10.53144,0.1943199,0.3765991,-0.1822792,0.1718984,0.0462819,0.1256164,1.61435,3.235011,-1.620661
2687,CUNY Brooklyn College,New York,NY,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666666666667,190549,2017,New York,4-year,Public Selective,1,0,0,1,0,0,13712,30.40403,31.9853,-1.581275,23.41744,24.95382,-1.536374,20.77013,18.03069,2.739443,19.93145,8.748155,11.18329,0.1750292,0.3681356,-0.1931064,0.1531505,0.0512469,0.1019036,1.77217,3.264868,-1.492698
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333333333,190594,2009,New York,4-year,Public Selective,1,0,0,1,0,0,14685,38.95131,35.8662,3.085113,19.30541,22.94131,-3.635892,11.6922,18.80579,-7.113584,20.85121,7.591372,13.25984,0.2042901,0.2426005,-0.0383103,NA,0.0250302,NA,NA,2.11425,NA
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333333333,190594,2010,New York,4-year,Public Selective,1,0,0,1,0,0,14609,37.33315,33.14363,4.189524,20.49422,24.46997,-3.975755,11.06852,18.5941,-7.525585,21.24718,8.330387,12.91679,0.2395783,0.5998139,-0.3602356,0.3833253,0.0656675,0.3176579,0.8898624,3.385161,-2.495299
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333333333,190594,2011,New York,4-year,Public Selective,1,0,0,1,0,0,15417,36.21976,33.66215,2.557611,21.21035,24.31983,-3.109478,10.52085,18.41726,-7.89641,22.57248,8.332176,14.24031,0.2205358,0.3221104,-0.1015747,0.5383667,0.0571011,0.4812656,1.303756,2.536088,-1.232332
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333333333,190594,2012,New York,4-year,Public Selective,1,0,0,1,0,0,15789,34.6697,33.29587,1.373833,21.84432,24.57065,-2.726328,10.17164,18.48653,-8.314896,23.90272,8.385696,15.51702,0.1710051,0.3433383,-0.1723332,0.7156882,0.0485686,0.6671196,1.475711,2.699365,-1.223654
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333333333,190594,2013,New York,4-year,Public Selective,1,0,0,1,0,0,15697,31.69395,32.90515,-1.211199,24.88374,24.71686,0.1668781,10.03376,18.44399,-8.410225,24.2403,8.37589,15.86441,0.21660190000000001,0.3609434,-0.1443415,0.7389947,0.0528836,0.6861111,1.624514,2.812586,-1.188072
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333333333,190594,2014,New York,4-year,Public Selective,1,0,0,1,0,0,15778,29.54113,32.41151,-2.870375,26.97427,24.78215,2.192114,10.00761,18.32185,-8.314242,24.6419,8.436995,16.20491,0.1711244,0.3813403,-0.210216,0.7035112,0.0450246,0.6584865,1.654202,3.089315,-1.435113
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333333333,190594,2015,New York,4-year,Public Selective,1,0,0,1,0,0,15465,26.64727,32.23287,-5.585602,28.89104,24.84172,4.049324,9.576463,18.19796,-8.621501,26.03298,8.601648,17.43133,0.1616554,0.3744627,-0.2128073,0.543162,0.0456974,0.4974647,1.894601,3.069968,-1.175367
2689,CUNY Hunter College,New York,NY,49800,44400,21.163614,0.56101543,35.636646,0.84728265,7.5420022,0.17931563,-4.5349264,-10.824342,1489.333333333333,190594,2016,New York,4-year,Public Selective,1,0,0,1,0,0,15632,24.76331,32.20091,-7.437606,29.86182,24.86254,4.999284,10.39534,18.06872,-7.673375,26.54171,8.638453,17.90326,0.1343398,0.3760537,-0.2417139,0.5373592,0.0461594,0.4911999,1.944729,3.229994,-1.285266
